category,food_name,calories_kcal_per_100g,fat_g_per_100g,carbs_g_per_100g
"0DQM1ZK2G6","白薯","106","0.2","25.2"
"0DQM1ZK2G6","邦肴 菱角米","119.02","0","25"
"0DQM1ZK2G6","扁豆(白)","283","1.3","55.6"
"0DQM1ZK2G6","扁豆(干豆)","339","0.4","61.9"
"0DQM1ZK2G6","槟榔芋","90","0.1","19.7"
"0DQM1ZK2G6","蚕豆","338","1","61.5"
"0DQM1ZK2G6","糙米","348","2.7","75"
"0DQM1ZK2G6","厨乐 古斯古斯中东小米","348.47","1.2","71"
"0DQM1ZK2G6","大黄米","356","2.7","71.1"
"0DQM1ZK2G6","大麦","327","1.4","73.3"
"0DQM1ZK2G6","大米","346","0.9","77.2"
"0DQM1ZK2G6","大薯","108","0.2","24.9"
"0DQM1ZK2G6","地扪 粟米粒","83","1.5","15"
"0DQM1ZK2G6","豆薯(凉薯)","56","0.1","13.4"
"0DQM1ZK2G6","法国鹰嘴豆罐头","122.8","2","19.7"
"0DQM1ZK2G6","高粱米","360","3.1","74.7"
"0DQM1ZK2G6","黑大麦","327","2.2","74.3"
"0DQM1ZK2G6","黑米","341","2.5","72.2"
"0DQM1ZK2G6","红豆","324","0.6","63.4"
"0DQM1ZK2G6","红薯","86","0.1","20.12"
"0DQM1ZK2G6","花豆(红)","328","1.3","62.7"
"0DQM1ZK2G6","花豆(紫)","330","1.4","65.8"
"0DQM1ZK2G6","黄米","351","1.5","76.9"
"0DQM1ZK2G6","荟食 有机绿豆","331.74","1","58.6"
"0DQM1ZK2G6","金御膳牌泰国香米","350","0.5","80"
"0DQM1ZK2G6","粳米(标二)","347","0.6","77.7"
"0DQM1ZK2G6","粳米(标一)","345","0.6","77.4"
"0DQM1ZK2G6","粳糯米","344","0.8","76.7"
"0DQM1ZK2G6","莲花 FOODS竹提取物浸泡有机珍珠米","355.56","0","80"
"0DQM1ZK2G6","莲花 FOODSBROWNMEKONGFLOWERRICE","350","2.5","75"
"0DQM1ZK2G6","莲花 FOODSMEKONGFLOWERRICE","316.67","0","75"
"0DQM1ZK2G6","莲花 FOODSVOLCANORICE","333.33","0","73.33"
"0DQM1ZK2G6","绿豆(干)","329","0.8","62"
"0DQM1ZK2G6","马铃薯","81","0.2","17.8"
"0DQM1ZK2G6","马铃薯丁(脱水)","344","0.5","80.7"
"0DQM1ZK2G6","眉豆","334","1.1","65.6"
"0DQM1ZK2G6","糜子(带皮)","336","0.6","75.1"
"0DQM1ZK2G6","木薯","119","0.3","27.8"
"0DQM1ZK2G6","南农食品 南农 大米","345.6","0.8","71.8"
"0DQM1ZK2G6","南农食品 南农 血糯米","342.73","1.7","73.7"
"0DQM1ZK2G6","南农食品 南农 有机大黄米","348.71","2.9","67.6"
"0DQM1ZK2G6","南农食品 南农 越光大米","345.6","0.8","71.8"
"0DQM1ZK2G6","南农食品 南农 紫薯香米","380.02","5.1","64.2"
"0DQM1ZK2G6","南农杂粮 南农 有机白小米","357.55","3.1","73.5"
"0DQM1ZK2G6","南农杂粮 南农 有机糙米","332.22","2.2","75.6"
"0DQM1ZK2G6","南农杂粮 南农 有机大麦仁","306.64","1.4","63.4"
"0DQM1ZK2G6","南农杂粮 南农 有机高粱米","348.95","3.7","70.2"
"0DQM1ZK2G6","南农杂粮 南农 有机黑米","332.7","2.5","68.3"
"0DQM1ZK2G6","南农杂粮 南农 有机黑小米","332.7","2.5","68.3"
"0DQM1ZK2G6","南农杂粮 南农 有机红小豆","309.75","1.1","60.4"
"0DQM1ZK2G6","南农杂粮 南农 有机黄小米","357.55","3.1","73.5"
"0DQM1ZK2G6","南农杂粮 南农 有机绿豆","315.73","0.9","55.6"
"0DQM1ZK2G6","南农杂粮 南农 有机绿小米","358.03","3.4","71.5"
"0DQM1ZK2G6","南农杂粮 南农 有机奶花豆","333.65","0.9","59.5"
"0DQM1ZK2G6","南农杂粮 南农 有机荞麦米","323.61","2.6","72.2"
"0DQM1ZK2G6","南农杂粮 南农 有机燕麦米","391.01","6.7","66.2"
"0DQM1ZK2G6","南农杂粮 南农 有机薏仁","357.07","3.3","71.1"
"0DQM1ZK2G6","南农杂粮 南农 有机芸豆","313.81","1.3","54.2"
