"id","category_zh","name_zh","intensity_zh","met","kcal_30min_70kg","source_code","source_activity_en"
"walk_stroll","步行/跑步","散步（很慢）","很轻",2.3,81,"17151","Walking, less than 2.0 mph, level, strolling, very slow"
"walk_slow","步行/跑步","慢走","轻",2.8,98,"17152","Walking, 2.0 to 2.4 mph, level, slow pace, firm surface"
"walk_dog","步行/跑步","遛狗","轻",3.0,105,"17165","Walking the dog"
"walk_moderate","步行/跑步","健走/中速步行","中",3.8,133,"17190","Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface"
"walk_brisk","步行/跑步","快走","中高",4.8,168,"17200","Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise"
"walk_very_brisk","步行/跑步","极快走","高",5.5,193,"17220","Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace"
"nordic_walking_moderate","步行/跑步","北欧健走","中",4.3,151,"17302","Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace"
"hiking_normal","步行/跑步","徒步（田野丘陵正常速度）","中",5.3,186,"17082","Hiking or walking at a normal pace through fields and hillsides, no load"
"backpacking","步行/跑步","背包徒步","高",7.0,245,"17010","Backpacking"
"stairs_slow","步行/跑步","爬楼梯（慢速）","中",4.5,158,"17133","Stair climbing, slow pace"
"stairs_general","步行/跑步","爬楼梯","高",6.8,238,"17131","Stair climbing, general"
"stairs_fast","步行/跑步","爬楼梯（快速）","高",9.3,326,"17134","Stair climbing, fast pace, one step at a time"
"super_slow_jog","步行/跑步","超慢跑（约4.2-6.0km/h）","轻中",3.3,116,"12026","Jogging 2.6 to 3.7 mph"
"jog_in_place","步行/跑步","原地慢跑","中",4.8,168,"12025","Jogging, in place"
"jog_walk_combo","步行/跑步","跑走结合","中",6.0,210,"12010","Jog/walk combination (jogging component of less than 10 minutes)"
"jog_general","步行/跑步","慢跑","高",7.5,263,"12020","Jogging, general, self-selected pace"
"run_slow","步行/跑步","跑步（约6.4-6.8km/h）","高",6.5,228,"12028","Running, 4 to 4.2 mph (13 min/mile)"
"run_8kph","步行/跑步","跑步（约8km/h）","高",8.5,298,"12030","Running, 5.0 to 5.2 mph (12 min/mile)"
"run_10kph","步行/跑步","跑步（约9.7-10.1km/h）","很高",9.3,326,"12050","Running, 6-6.3 mph (10 min/mile)"
"run_11kph","步行/跑步","跑步（约11.3km/h）","很高",11.0,385,"12070","Running, 7 mph (8.5 min/mile)"
"run_stairs","步行/跑步","跑楼梯","极高",15.0,525,"12170","Running, stairs, up"
"cycling_leisure","骑行","自行车休闲骑行（<16km/h）","中",4.0,140,"01010","Bicycling, <10 mph, leisure, to work or for pleasure"
"cycling_slow","骑行","自行车轻松骑行（16-19km/h）","中高",6.8,238,"01020","Bicycling, 10-11.9 mph, leisure, slow, light effort"
"cycling_moderate","骑行","自行车中等骑行（19-22km/h）","高",8.0,280,"01030","Bicycling, 12-13.9 mph, leisure, moderate effort"
"cycling_fast","骑行","自行车快速骑行（22-26km/h）","很高",10.0,350,"01040","Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
"mountain_bike","骑行","山地车","高",8.5,298,"01009","Bicycling, mountain, general"
"stationary_bike_general","骑行","固定自行车","中高",6.8,238,"01200","Bicycling, stationary, general"
"spinning","骑行","动感单车课程","很高",9.0,315,"01270","Bicycling, stationary, RPM/Spin bike class"
"cycling_hiit","骑行","室内自行车HIIT","很高",8.8,308,"01305","Bicycling, high intensity interval training"
"aerobics_general","健身/力量","有氧操","高",7.3,256,"02000","Aerobic, general"
"step_aerobics","健身/力量","踏板操","高",7.3,256,"02002","Aerobic, step, with 6-8 inch step"
"low_impact_aerobic_dance","健身/力量","低冲击有氧舞","中",4.8,168,"02005","Aerobic dance, low impact, moderate effort"
"high_impact_aerobic_dance","健身/力量","高冲击有氧舞","高",8.0,280,"02006","Aerobic dance, high impact, vigorous effort"
"calisthenics_light","健身/力量","徒手训练（轻）","轻",2.8,98,"02024","Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort"
"calisthenics_moderate","健身/力量","徒手训练（中等）","中",3.8,133,"02022","Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort"
"calisthenics_vigorous","健身/力量","徒手训练（高强度）","高",7.5,263,"02020","Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort"
"bodyweight_general","健身/力量","自重抗阻训练","中",3.0,105,"02056","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general"
"bodyweight_high","健身/力量","自重抗阻训练（高强度）","高",6.5,228,"02057","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity"
"weight_training_general","健身/力量","重量训练（多动作）","中",3.5,123,"02054","Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance"
"weight_training_compound","健身/力量","重量训练（深蹲/硬拉）","中高",5.0,175,"02052","Resistance (weight) training, squats, deadlift, slow or explosive effort"
"weight_training_vigorous","健身/力量","重量训练/健美（高强度）","高",6.0,210,"02050","Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort"
"circuit_bodyweight","健身/力量","循环训练（自重）","中高",6.0,210,"02032","Circuit training, body weight exercises"
"circuit_vigorous","健身/力量","循环训练（壶铃/少休息）","高",7.5,263,"02040","Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity"
"kettlebell_swings","健身/力量","壶铃摆动","很高",9.8,343,"02058","Kettle bell swings"
"elliptical_moderate","健身/力量","椭圆机（中等）","中高",5.0,175,"02048","Elliptical trainer, moderate effort"
"elliptical_vigorous","健身/力量","椭圆机（高强度）","很高",9.0,315,"02049","Elliptical trainer, vigorous effort"
"rowing_moderate","健身/力量","划船机（中等）","中高",5.0,175,"02071","Rowing, stationary ergometer, general, <100 watts, moderate effort"
"rowing_vigorous","健身/力量","划船机（高强度）","高",7.3,256,"02070","Rowing, stationary ergometer, general, vigorous effort"
"jump_rope_general","健身/力量","跳绳","很高",11.0,385,"02068","Rope skipping exercise, general"
